6.20918513	0.014115802	6287.11817
14.55121006	0.073367784	13903.5006
24.72919974	0.186341142	21963.96447
34.76761326	0.337072711	29566.52848
44.79693787	0.528315005	36851.03526
54.85529181	0.763883511	44316.75485
64.89349296	1.038052292	51885.61874
74.87993951	1.350715295	58929.4409
84.87989109	1.701179571	66125.63628
94.93204009	2.085692049	73503.42097
104.9204139	2.506867174	80283.38557
114.9494612	2.968496584	88006.99007
124.9375429	3.465393611	93940.68334
134.9250836	4.002711145	101693.5014
144.9688713	4.585989986	109655.222
154.945899	5.210622093	116992.0237
164.9589731	5.877093796	123790.9233
174.8773494	6.580777291	132046.7676
184.8659379	7.317564541	138130.2049
194.9527951	8.095490743	145721.6569
205.0154704	8.916327737	153212.8073
214.9440901	9.764893449	160203.5027
224.9138032	10.65679004	167943.7307
234.9748699	11.5867998	175274.2225
244.9475952	12.56308506	181516.6631
255.0023824	13.59316022	190241.4642
264.9746818	14.65037318	196392.4551
275.0439092	15.74566698	204065.4682
284.9248193	16.87807929	213312.3283
295.044535	18.06182308	219912.1464
305.0585078	19.30093034	227523.6539
314.9589127	20.55692133	234677.4179
324.8711607	21.84451033	241873.8114
334.8366537	23.17613593	248604.719
344.9590239	24.55126738	254754.693
355.0488659	26.00997512	262807.5437
364.9907239	27.49618924	270891.4456
374.9802613	28.98188677	276915.4532
384.9722826	30.49634067	283765.987
394.9603571	32.03357205	292961.8093
404.9812579	33.63124494	298927.8183
415.0142897	35.30185049	305876.507
425.0584924	36.9948554	315916.438
435.0553459	38.69446478	325147.3458
444.8634586	40.43672522	330646.3227
454.9375866	42.26519729	336397.6038
465.1236572	44.13489157	343347.4115
475.2593511	46.03941795	352860.6679
485.1658428	47.93837072	360343.068
494.9851078	49.86686874	368007.1734
505.0077226	51.88824	375044.7248
515.0249536	53.95389831	381516.8835
525.0737269	56.05190493	388385.5541
535.0392401	58.1697582	394800.1032
544.9594443	60.32333421	401468.2255
554.9366759	62.52407526	409125.4621
565.0042828	64.74731327	414390.1164
574.9830827	67.02576249	421905.2456
585.0314412	69.37219738	430322.9897
595.0684615	71.73703059	437617.3256
604.9540519	74.0891838	445404.1371
614.9032303	76.49135206	454784.037
624.9709168	78.97207625	465949.8228
635.1422358	81.51889665	471788.2261
645.0317308	84.02689735	475398.5801
654.9443745	86.56755059	483017.8766
664.9578912	89.1985635	490789.5057
675.0806243	91.8623423	498775.3727
685.1951305	94.57136903	507555.5602
695.1149578	97.30547381	515437.0905
705.0366804	100.0875055	520978.661
715.0709996	102.8732182	526892.5679
725.1237139	105.7564267	534120.1904
735.1731844	108.6795858	544157.6514
745.2033671	111.5863737	555808.5098
755.0549568	114.4874365	563343.031
765.1466834	117.5281918	567216.0382
775.0618345	120.5855782	569352.7263
784.9163209	123.6356844	575325.6987
794.9178608	126.8272706	584840.5312
804.9354201	129.9869277	594301.3859
814.7524509	133.225779	603807.5081
824.9589227	136.593852	612898.231
834.8352601	139.9220381	621386.2545
845.0754581	143.3066603	629081.7538
855.1706927	146.7211502	635112.6904
864.6623384	150.0281109	640202.2619
874.8017895	153.519728	647163.1325
885.0918888	157.1208951	654534.9977
895.0859708	160.6627124	662593.0867
905.1335818	164.2851946	672654.3556
914.8922925	167.8095402	681438.0339
924.716286	171.3795348	687000.8107
934.9968797	175.2442991	689281.8777
945.1898052	179.097349	692509.8707
954.9565762	182.8766134	701552.4051
964.643218	186.5352302	714546.299
974.8466493	190.1834414	723430.34
984.4872015	193.9342328	729023.5494
994.7300879	197.8480146	732032.9661
1005.102776	201.9537017	737242.4145
1015.056893	205.6529065	744310.2644
1024.711219	209.3928596	751708.0706
1034.750981	213.4673384	761986.4481
1045.015337	217.7751008	771536.3573
1054.868202	221.8926826	780310.6159
1064.878137	226.0474635	788438.6371
1075.154069	230.4055629	795218.1874
1085.332114	234.7607841	803748.1412
1095.110185	238.9856271	813318.038
1105.016903	243.1601121	820173.3512
1115.237961	247.5386115	823500.8455
1124.959274	251.9489698	827302.0216
1134.927461	256.4378444	833192.1309
1145.054535	261.101901	843589.9605
1154.889658	265.7092661	852657.9476
1164.772654	270.3005997	861762.3173
1174.925825	274.9215665	867560.5075
1185.218377	279.6650081	872477.5286
1195.023839	284.2022495	880760.4268
1204.805666	288.8555629	891139.514
1214.619657	293.5320377	901566.8944
1224.696001	298.3945572	909212.0407
1235.119926	303.4974773	912038.6795
1244.920326	308.1723593	914416.6578
1254.649518	312.9568191	918149.609
1264.771618	317.9637232	922558.7359
1274.918866	323.0112179	927980.3894
1284.936735	328.05585	934525.628
1294.662341	333.2134445	942475.5994
1305.057108	337.8481145	956586.122
1315.005178	342.7315736	967297.6623
1324.83495	347.0535897	973113.0705
1335.231701	352.5504945	978022.5154
1345.196261	358.0629582	983129.4587
1354.936022	363.3446773	990038.7568
1365.102649	368.5384192	1001409.478
1374.623191	373.7242489	1007526.67
1384.908411	378.9849178	1016597.94
1394.591386	384.1880398	1025452.33
1404.928313	389.7169388	1036265.455
1415.445815	394.8998792	1048128.909
1424.882961	400.3382031	1058543.32
1435.152746	406.2827333	1065649.495
1444.938236	411.9453589	1071621.367
1454.794108	417.1631246	1077885.813
1464.807856	422.8147462	1084647.369
1474.914682	428.9687697	1091753.993
1484.719102	435.0097288	1100814.103
1494.804685	440.665324	1105469.37
1505.034177	446.7232826	1104825.775
1515.272736	452.7964384	1108517.733
1525.130625	458.8842943	1114476.778
1534.944061	464.6208032	1122405.563
1545.454417	470.8950507	1131888.859
1555.486234	476.7543849	1141631.109
1564.49401	482.8444796	1145459.328
