2.971774866	0.231647373	0.001624891	0.000578396	3043.786212	1136.218942
7.640523077	0.196953801	0.006745115	0.001758601	8417.343069	1472.806215
13.0012065	0.150631638	0.015102775	0.003142994	12033.31053	1375.910546
18.65042987	0.225373132	0.026743912	0.004166631	15277.92773	1194.099798
24.57382386	0.158698184	0.042941015	0.005301603	18750.11498	1334.306719
30.77602012	0.213369957	0.064662582	0.007590767	22590.65603	1408.488949
37.23495709	0.173457807	0.092317768	0.010038914	26608.84355	1832.738444
44.18056474	0.388886326	0.1265274	0.012340688	31563.41429	2018.737016
51.35860293	0.20647096	0.169382436	0.014740983	36192.74285	1821.615407
59.10495689	0.4038607	0.221648605	0.016746137	41284.88397	2085.455716
66.86289436	0.225470206	0.284134268	0.019136473	46430.54241	1928.977644
75.24473223	0.213622221	0.360304569	0.020805023	52680.25381	2537.151978
83.91812434	0.199093459	0.449759125	0.023678006	58851.87064	1896.714128
93.10063769	0.206863834	0.55173786	0.026703631	65411.07655	2709.566957
102.8907439	0.25777813	0.675240556	0.031667274	72249.3327	3343.428187
112.9622322	0.171500623	0.82451882	0.03632879	79524.4284	2989.752022
123.626054	0.155957584	0.995409316	0.038111403	88157.91335	2797.488312
134.8279578	0.171775925	1.193020737	0.04083576	96987.09785	4016.207942
146.6123447	0.191144558	1.417723889	0.043435377	105803.5337	2874.396517
158.9253401	0.254218101	1.670935705	0.046306042	117165.1523	4015.57448
171.8262465	0.195184975	1.959477444	0.052491883	128173.8518	6308.357792
185.47395	0.194903181	2.290670977	0.059647328	139009.3824	5525.109731
199.7482366	0.25294647	2.668253307	0.064974602	150638.4973	6384.988592
214.7071413	0.25406824	3.096558772	0.069908995	163569.3033	5435.791143
230.457131	0.276164075	3.58290504	0.074685308	176447.2309	4719.471425
246.9726834	0.240434378	4.13885182	0.076830107	190740.3216	6443.787744
264.429289	0.24430416	4.773339937	0.080062076	207848.6232	9170.555221
282.6008991	0.377484398	5.491847899	0.094420305	221220.5679	6784.864422
301.7031907	0.344822705	6.299904173	0.102802482	238399.6886	8843.853651
321.8567602	0.329149328	7.2132965	0.10819885	251143.4742	7447.328581
342.8895476	0.441124132	8.246351584	0.114272216	271978.7219	7968.153671
365.0210129	0.392947229	9.408393373	0.126664731	292618.5022	9971.483066
388.2204785	0.396666373	10.72181821	0.137848189	312793.8926	11626.50489
412.6521431	0.473702923	12.22138427	0.143504422	336003.8519	11959.57622
438.3904117	0.40259643	13.90758046	0.156681532	358767.9335	13120.03013
465.2268295	0.553531748	15.80218029	0.169002171	385091.3931	17232.58299
499.8767126	1.62262584	18.27258179	0.167025894	416541.0845	19293.12491

