nanoDMA Text Export Version 1.00

 Test Time (s)	 Indent Disp. (nm)	 Indent Act. Load (µN)	 Indent Load (µN)	 Indent Disp. Volt. (V)	 Indent Act. Load Volt. (V)	 Indent Act. Output Volt. (V)	 Dynamic Freq. (Hz)	 Disp. Amp. (nm)	 Phase Shift (deg)	 Load Amp. (µN)	 Dynamic Comp. (nm/µN)	 Disp. Amp. Volt. (V)	 Load Amp. Volt. (V)	 Storage Mod. (GPa)	 Loss Mod. (GPa)	 Hardness (GPa)	 Complex Mod. (GPa)	 Tan-Delta	 Storage Stiff. (µN/nm)	 Loss Stiff. (µN/nm)	 Complex Stiff. (µN/nm)	 Damping (kg/s)	 Contact Area (nm^2)	 Contact Depth (nm)	
5.198336	0.760831	126.902479	9.394749	0.000796	0.611529	0.579294	205.0	0.652486	-1.575249	4.967326	0.131356	8.009047e-005	0.008936	527.687376	4.523238	76.192641	527.706762	0.008572	8.174926	0.070074	8.175226	5.4403e-005	188.496869	0.095683	
5.208333	0.739431	126.890454	9.390682	0.0008	0.611501	0.579294	205.0	0.652285	-1.511107	4.967323	0.131315	8.006582e-005	0.008936	596.688719	4.495936	97.331595	596.705656	0.007535	8.177546	0.061616	8.177778	4.783674e-005	147.51638	0.074878	
5.21833	0.718769	126.86496	9.372879	0.000803	0.611439	0.579294	205.0	0.652129	-1.639987	4.96732	0.131284	8.004669e-005	0.008936	690.607909	6.652961	130.177766	690.639954	0.009633	8.178917	0.078791	8.179296	6.117099e-005	110.158588	0.055914	
5.228326	0.678301	126.831748	9.354689	0.00081	0.61136	0.579294	205.0	0.651182	-1.641988	4.967314	0.131093	7.993046e-005	0.008936	1219.627617	11.81995	404.370632	1219.684891	0.009691	8.190198	0.079375	8.190582	6.162388e-005	35.418009	0.017976	
5.238323	0.787267	126.793004	9.27569	0.000792	0.611265	0.579294	205.0	0.650017	-1.641221	4.967329	0.130858	7.978736e-005	0.008936	445.470524	4.32562	53.466273	445.491525	0.00971	8.204179	0.079664	8.204565	6.184872e-005	266.392596	0.135232	
5.24832	0.82206	126.75172	9.221591	0.000786	0.611166	0.579294	205.0	0.649804	-1.583178	4.967334	0.130815	7.976126e-005	0.008936	391.522708	3.434611	41.115835	391.537772	0.008772	8.206958	0.071995	8.207274	5.58945e-005	345.096361	0.175197	
5.258317	0.727036	126.718542	9.223616	0.000802	0.611086	0.579294	205.0	0.650014	-1.639116	4.967321	0.130858	7.978701e-005	0.008936	580.016242	5.612307	90.308459	580.043394	0.009676	8.204205	0.079385	8.204589	6.163168e-005	157.138507	0.079763	
5.268314	0.678432	126.686973	9.210077	0.000811	0.611011	0.579294	205.0	0.649785	-1.584158	4.967314	0.130812	7.975896e-005	0.008936	907.087852	7.972332	220.506202	907.122885	0.008789	8.207146	0.072132	8.207463	5.600083e-005	64.294749	0.032633	
5.27831	0.646153	126.665687	9.200777	0.000816	0.61096	0.579294	205.0	0.650037	-1.643251	4.96731	0.130863	7.978988e-005	0.008936	5333.669378	51.964536	7624.893939	5333.92251	0.009743	8.20389	0.079928	8.20428	6.205361e-005	1.858136	0.000943	
5.288307	0.597436	126.655651	9.208804	0.000825	0.610936	0.579294	205.0	0.64976	-1.582757	4.967303	0.130807	7.975582e-005	0.008936	0.0	0.0	0.0	0.0	0.008767	8.20744	0.071954	8.207756	5.586238e-005	0.0	-0.048225	
